Num,y
348622,1497.0
348623,27033.0
348624,297560.0
348625,29471.0
348626,16.0
348627,146242.0
348628,67735.0
348629,111941.0
348630,102631.0
348631,3542.0
348632,1851.0
348633,54997.0
348634,278979.0
348635,21963.0
348636,1948.0
348637,178790.0
348638,121619.0
348639,509841.0
348640,510745.0
348641,2336.0
348642,113226.0
348643,83468.0
348644,1215.0
348645,24232.0
348646,10949.0
348647,150512.0
348648,7489.0
348649,18666.0
348650,5530.0
348651,23602.0
348652,17177.0
348653,279966.0
348654,7397.0
348655,21960.0
348656,10440.0
348657,2471.0
348658,44817.0
348659,1400.0
348660,161.0
348661,16838.0
348662,7059.0
348663,18498.0
348664,1161552.0
348665,79909.0
348666,343100.0
348667,873416.0
348668,96036.0
348669,27109.0
348670,25985.0
348671,96.0
348672,48018.0
348673,88.0
348674,257.0
348675,2758978.0
348676,387272.0
348677,6568.0
348678,46158.0
348679,345449.0
348680,14377.0
348681,708.0
348682,36443.0
348683,1948.0
348684,1577.0
348685,21311.0
348686,185885.0
348687,6143.0
348688,143967.0
348689,25539.0
348690,6828.0
348691,198735.0
348692,14015.0
348693,194328.0
348694,138427.0
348695,118705.0
348696,132699.0
348697,98106.0
348698,1207.0
348699,15567.0
348700,11833.0
348701,87868.0
348702,9112.0
348703,56841.0
348704,73899.0
348705,151731.0
348706,118882.0
348707,27419.0
348708,8541.0
348709,60777.0
348710,95081.0
348711,38152.0
348712,5530.0
348713,92864.0
348714,100238.0
348715,184839.0
348716,10714.0
348717,193.0
348718,4058.0
348719,6528.0
348720,13443.0
348721,103711.0
348722,3133.0
348723,474.0
348724,18906.0
348725,6238.0
348726,4475.0
348727,79941.0
348728,296473.0
348729,32029.0
348730,1267808.0
348731,336103.0
348732,31444.0
348733,166586.0
348734,837.0
348735,2492067.0
348736,42705.0
348737,21871.0
348738,707973.0
348739,547057.0
348740,598213.0
348741,1047900.0
348742,113257.0
348743,117047.0
348744,2368.0
348745,6177.0
348746,128.0
348747,13942.0
